"","site","site.name","uniqueid","subid","session","scan","MeanFD","PercentFD_greater_than_0.20","global"
"198",24,"NYU 2","NYU_org_0025012_session_2_rest_1","0025012",2,1,0.126,19.8895,"All Sites"
"199",24,"NYU 2","NYU_org_0025012_session_2_rest_2","0025012",2,2,0.1961,15.4696,"All Sites"
"200",24,"NYU 2","NYU_org_0025013_session_1_rest_1","0025013",1,1,0.0537,0,"All Sites"
"201",24,"NYU 2","NYU_org_0025013_session_1_rest_2","0025013",1,2,0.1287,15.4696,"All Sites"
"202",24,"NYU 2","NYU_org_0025013_session_2_rest_1","0025013",2,1,0.0667,2.2099,"All Sites"
"203",24,"NYU 2","NYU_org_0025013_session_2_rest_2","0025013",2,2,0.1863,20.9945,"All Sites"
"204",24,"NYU 2","NYU_org_0025014_session_1_rest_1","0025014",1,1,0.0788,5.5249,"All Sites"
"205",24,"NYU 2","NYU_org_0025014_session_1_rest_2","0025014",1,2,0.0594,1.6575,"All Sites"
"206",24,"NYU 2","NYU_org_0025014_session_2_rest_1","0025014",2,1,0.0496,0,"All Sites"
"207",24,"NYU 2","NYU_org_0025014_session_2_rest_2","0025014",2,2,0.064,1.6575,"All Sites"
"208",24,"NYU 2","NYU_org_0025015_session_1_rest_1","0025015",1,1,0.1223,11.0497,"All Sites"
"209",24,"NYU 2","NYU_org_0025015_session_1_rest_2","0025015",1,2,0.175,26.5193,"All Sites"
"210",24,"NYU 2","NYU_org_0025015_session_2_rest_1","0025015",2,1,0.1039,8.2873,"All Sites"
"211",24,"NYU 2","NYU_org_0025015_session_2_rest_2","0025015",2,2,0.1003,8.8398,"All Sites"
"212",24,"NYU 2","NYU_org_0025016_session_1_rest_1","0025016",1,1,0.1434,14.9171,"All Sites"
"213",24,"NYU 2","NYU_org_0025016_session_1_rest_2","0025016",1,2,0.1839,26.5193,"All Sites"
"214",24,"NYU 2","NYU_org_0025016_session_2_rest_1","0025016",2,1,0.0786,3.8674,"All Sites"
"215",24,"NYU 2","NYU_org_0025016_session_2_rest_2","0025016",2,2,0.1154,12.1547,"All Sites"
"216",24,"NYU 2","NYU_org_0025017_session_1_rest_1","0025017",1,1,0.2212,28.1768,"All Sites"
"217",24,"NYU 2","NYU_org_0025017_session_1_rest_2","0025017",1,2,0.2142,29.2818,"All Sites"
"218",24,"NYU 2","NYU_org_0025017_session_2_rest_1","0025017",2,1,0.1194,10.4972,"All Sites"
"219",24,"NYU 2","NYU_org_0025017_session_2_rest_2","0025017",2,2,0.1891,24.8619,"All Sites"
"220",24,"NYU 2","NYU_org_0025018_session_1_rest_1","0025018",1,1,0.1878,32.5967,"All Sites"
"221",24,"NYU 2","NYU_org_0025018_session_1_rest_2","0025018",1,2,0.1208,7.1823,"All Sites"
"222",24,"NYU 2","NYU_org_0025018_session_2_rest_1","0025018",2,1,0.1011,3.3149,"All Sites"
"223",24,"NYU 2","NYU_org_0025018_session_2_rest_2","0025018",2,2,0.0909,4.9724,"All Sites"
"224",24,"NYU 2","NYU_org_0025019_session_1_rest_1","0025019",1,1,0.1407,10.4972,"All Sites"
"225",24,"NYU 2","NYU_org_0025019_session_1_rest_2","0025019",1,2,0.1142,7.7348,"All Sites"
"226",24,"NYU 2","NYU_org_0025019_session_2_rest_1","0025019",2,1,0.075,1.6575,"All Sites"
"227",24,"NYU 2","NYU_org_0025019_session_2_rest_2","0025019",2,2,0.1016,4.4199,"All Sites"
"228",24,"NYU 2","NYU_org_0025020_session_1_rest_1","0025020",1,1,0.0867,4.4199,"All Sites"
"229",24,"NYU 2","NYU_org_0025020_session_1_rest_2","0025020",1,2,0.0668,1.6575,"All Sites"
"230",24,"NYU 2","NYU_org_0025020_session_2_rest_1","0025020",2,1,0.0466,0.5525,"All Sites"
"231",24,"NYU 2","NYU_org_0025021_session_1_rest_1","0025021",1,1,0.215,38.674,"All Sites"
"232",24,"NYU 2","NYU_org_0025021_session_2_rest_1","0025021",2,1,0.5899,56.3536,"All Sites"
"233",24,"NYU 2","NYU_org_0025021_session_2_rest_2","0025021",2,2,0.118,8.2873,"All Sites"
"234",24,"NYU 2","NYU_org_0025022_session_1_rest_1","0025022",1,1,0.1336,14.3646,"All Sites"
"235",24,"NYU 2","NYU_org_0025022_session_1_rest_2","0025022",1,2,0.1484,18.232,"All Sites"
"236",24,"NYU 2","NYU_org_0025022_session_2_rest_1","0025022",2,1,0.2366,20.9945,"All Sites"
"237",24,"NYU 2","NYU_org_0025022_session_2_rest_2","0025022",2,2,0.0925,4.4199,"All Sites"
"238",24,"NYU 2","NYU_org_0025023_session_1_rest_1","0025023",1,1,0.0679,0.5525,"All Sites"
"239",24,"NYU 2","NYU_org_0025023_session_1_rest_2","0025023",1,2,0.0589,0.5525,"All Sites"
"240",24,"NYU 2","NYU_org_0025023_session_2_rest_1","0025023",2,1,0.0602,0.5525,"All Sites"
"241",24,"NYU 2","NYU_org_0025023_session_2_rest_2","0025023",2,2,0.0556,0.5525,"All Sites"
"242",24,"NYU 2","NYU_org_0025023_session_3_rest_1","0025023",3,1,0.0608,0.5525,"All Sites"
"243",24,"NYU 2","NYU_org_0025023_session_3_rest_2","0025023",3,2,0.0528,1.6575,"All Sites"
"244",24,"NYU 2","NYU_org_0025024_session_1_rest_1","0025024",1,1,0.1656,17.6796,"All Sites"
"245",24,"NYU 2","NYU_org_0025024_session_1_rest_2","0025024",1,2,0.6939,48.6188,"All Sites"
"246",24,"NYU 2","NYU_org_0025024_session_2_rest_1","0025024",2,1,0.2417,19.8895,"All Sites"
"247",24,"NYU 2","NYU_org_0025024_session_2_rest_2","0025024",2,2,0.369,54.1436,"All Sites"
"248",24,"NYU 2","NYU_org_0025025_session_1_rest_1","0025025",1,1,0.0616,2.7624,"All Sites"
"249",24,"NYU 2","NYU_org_0025025_session_1_rest_2","0025025",1,2,0.2651,9.3923,"All Sites"
